userName,score,at,content
Sadia Sadia,5,2025-12-11 13:04:49,Bermanfaat
Sarmin Dina,5,2025-12-11 13:02:39,semua keluhan pelanggan bisa dijadikan lewat PLN mobile
Hamdani Hamdani,5,2025-12-11 13:02:34,pln mobile membantu dan mempermudah transaksi dan naik daya
Fendy 99,5,2025-12-11 13:02:29,"sangat membantu untuk keluhan listrik,dan top sekali"
surya suryalucha,5,2025-12-11 13:02:15,"wah PLN mobile sekarang sangat bermanfaat sekali,dengan PLN mobile ini kami sangat di permudah untuk melakukan laporan listrik padam secepatnya 💪🏻🔥⚡"
Hery 0505,5,2025-12-11 12:59:45,aplikasi sangat berguna bagi pelanggan
Adam adriansyah,5,2025-12-11 12:58:21,sangat membantu sekali semakin mudah hanya digenggaman...
Anjasmara Perawang,5,2025-12-11 12:58:15,aplikasinya bagus sangat membantu kami dalam membuat laporan gangguan listrik
SUHAR TADI,5,2025-12-11 12:58:01,"aplikasi sangat bagus,buat laporan gangguan kelistrikan jadi lebih mudah"
Ridhofatur Rahman,5,2025-12-11 12:58:01,"pelayanan ulp perawang sangat cepat dan tanggap,aplikasi pln mobile bisa mempermudah untuk pengaduan gangguan"
Ebeb Zha,5,2025-12-11 12:56:31,dahsyattt
Herlin Budikasih,5,2025-12-11 12:55:12,trimakasih karena sudah sangat membantu
Manto Furza,5,2025-12-11 12:54:34,Aplikasi PLN Mobile sangat mempermudah pelayanan pelanggan
Fahri Iksan,5,2025-12-11 12:53:53,trimakasih
Hendrik Suparmanto,5,2025-12-11 12:52:17,Joss Tenan
Muhammad Taufik Yulianto,5,2025-12-11 12:51:53,"aplikasi sangat bagus,,respon petugas cepat,, terimakasih pln mobile"
manahan hasibuan,5,2025-12-11 12:51:35,"Simpel, aman dan mudah di akses"
Candra Pwdd,5,2025-12-11 12:51:08,mantulllll
Elze Zeze,5,2025-12-11 12:49:54,aplikasi ini sangat bagus sangat berguna bagi saya
Amir Udin,5,2025-12-11 12:49:15,pokoknya terbaik
Evan Anindita,5,2025-12-11 12:48:37,mantap
miftah dudi,5,2025-12-11 12:48:28,harga tokennya kalau bs lbh murah
Nadali Halo,5,2025-12-11 12:48:19,mantab bang josjis lah pokok 🙏
Icuk Wintoko,5,2025-12-11 12:48:03,sangat membantu dan mempermudah kita
Ahmad Rizal,5,2025-12-11 12:47:16,apk sangat membantu
Dedi Kurniawan,2,2025-12-11 12:44:20,"mau pasang wifi,susah,tidak ter cover padahal tetangga pada pake"
Melkias Loho,5,2025-12-11 12:44:01,aplikasi PLN mobile memang mantap
Madnardi Ardi,5,2025-12-11 12:43:45,PLN mobile sangat membantu untuk kelistrikan
zakariyah Alfian,5,2025-12-11 12:43:20,"Aplikasi sangat bagus sekali dan sangat lengkap, banyak fitur yang sangat membantu buat para pelanggan, sukses terus PLN..♥️fitur swacam sangat mudah buat pelanggan ♥️"
Sutarno Ady,5,2025-12-11 12:38:59,aplikasi mantap bisa beli token tanpa harus keluar rumah..jozz gandos wes pokoe......
LALALA SIYOU,5,2025-12-11 12:38:08,kereeen bangets apk pln mobile..pelayanan cepat dan petugas ramah mantap PLN
Paijo slamet,5,2025-12-11 12:35:35,pln tambah keren
cvriski utama,4,2025-12-11 12:34:33,mudah saat pengecekan pembayaran maupun isi token listrik
Lilies Nurani Dewi,5,2025-12-11 12:33:29,PLN Mobile Terbaik
Dirin 84,5,2025-12-11 12:33:25,aplikasi PLN mobile Sangat membuat untuk layanan gangguan listrik padam
Anam,5,2025-12-11 12:32:56,sangat baik
ABDEE SAPROOL,5,2025-12-11 12:31:57,Mantap dan Keren 💋💋💋
La ode Andi,5,2025-12-11 12:31:27,dulu kalau mau lapor gangguan listrik harus ke kantor PLN sekarang bisa dari rumah
Rose Hassan Toha,5,2025-12-11 12:31:14,sangat memuaskan pelayanannya
